family,logical_path,extension,canonical_kept,removed_sources_count,removed_sources,unique_chunks_or_rows_added_to_canonical,final_unique_units_or_rows,method
AIWF-Project-Chat-Distribution-Roadmap,CHANGELOG.md,.md,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/CHANGELOG.md,2,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.5-comfyui-core-api-subgraph/AIWF-Project-Chat-Distribution-Roadmap/CHANGELOG.md | CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.3-rag-source-ledger/AIWF-Project-Chat-Distribution-Roadmap/CHANGELOG.md,2,12,canonical_text_plus_unique_chunks_from_removed_versions
AIWF-Project-Chat-Distribution-Roadmap,CHAT_HANDOFFS/13_rag_source_ledger_chat.md,.md,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/CHAT_HANDOFFS/13_rag_source_ledger_chat.md,1,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.3-rag-source-ledger/AIWF-Project-Chat-Distribution-Roadmap/CHAT_HANDOFFS/13_rag_source_ledger_chat.md,15,41,canonical_text_plus_unique_chunks_from_removed_versions
AIWF-Project-Chat-Distribution-Roadmap,CROSS_CHAT_CHECKLIST.md,.md,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/CROSS_CHAT_CHECKLIST.md,2,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.5-comfyui-core-api-subgraph/AIWF-Project-Chat-Distribution-Roadmap/CROSS_CHAT_CHECKLIST.md | CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.3-rag-source-ledger/AIWF-Project-Chat-Distribution-Roadmap/CROSS_CHAT_CHECKLIST.md,3,24,canonical_text_plus_unique_chunks_from_removed_versions
AIWF-Project-Chat-Distribution-Roadmap,MASTER_DISTRIBUTION_ROADMAP.md,.md,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/MASTER_DISTRIBUTION_ROADMAP.md,2,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.5-comfyui-core-api-subgraph/AIWF-Project-Chat-Distribution-Roadmap/MASTER_DISTRIBUTION_ROADMAP.md | CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.3-rag-source-ledger/AIWF-Project-Chat-Distribution-Roadmap/MASTER_DISTRIBUTION_ROADMAP.md,4,72,canonical_text_plus_unique_chunks_from_removed_versions
AIWF-Project-Chat-Distribution-Roadmap,PROJECT_CHAT_MAP.md,.md,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/PROJECT_CHAT_MAP.md,2,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.5-comfyui-core-api-subgraph/AIWF-Project-Chat-Distribution-Roadmap/PROJECT_CHAT_MAP.md | CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.3-rag-source-ledger/AIWF-Project-Chat-Distribution-Roadmap/PROJECT_CHAT_MAP.md,6,61,canonical_text_plus_unique_chunks_from_removed_versions
AIWF-Project-Chat-Distribution-Roadmap,README.md,.md,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.6-cfg-denoise-inpaint-theory/AIWF-Project-Chat-Distribution-Roadmap/README.md,2,CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.5-comfyui-core-api-subgraph/AIWF-Project-Chat-Distribution-Roadmap/README.md | CONTENT/AIWF-Project-Chat-Distribution-Roadmap-v0.3-rag-source-ledger/AIWF-Project-Chat-Distribution-Roadmap/README.md,5,30,canonical_text_plus_unique_chunks_from_removed_versions
AIWF_Pip_Package_RAG_Starter,CHANGELOG.md,.md,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/CHANGELOG.md,1,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_5/AIWF_Pip_Package_RAG_Starter_v1_5/CHANGELOG.md,0,21,canonical_text_plus_unique_chunks_from_removed_versions
AIWF_Pip_Package_RAG_Starter,PACKAGE_INDEX.md,.md,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/PACKAGE_INDEX.md,1,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_5/AIWF_Pip_Package_RAG_Starter_v1_5/PACKAGE_INDEX.md,232,234,canonical_text_plus_unique_chunks_from_removed_versions
AIWF_Pip_Package_RAG_Starter,RAG_LOADER_NOTES.md,.md,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/RAG_LOADER_NOTES.md,1,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_5/AIWF_Pip_Package_RAG_Starter_v1_5/RAG_LOADER_NOTES.md,0,13,canonical_text_plus_unique_chunks_from_removed_versions
AIWF_Pip_Package_RAG_Starter,README.md,.md,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_9/AIWF_Pip_Package_RAG_Starter_v1_9/README.md,1,CONTENT/AIWF_Pip_Package_RAG_Starter_v1_5/AIWF_Pip_Package_RAG_Starter_v1_5/README.md,6,21,canonical_text_plus_unique_chunks_from_removed_versions
